HABITAT,PATCH_NUM,REGION,Desc
Reef,1,QLD,Queensland
Other,2,QLD,Queensland
Reef,3,QLD,Queensland
Other,4,QLD,Queensland
Reef,5,QLD,Queensland
Reef,6,QLD,Queensland
Other,7,QLD,Queensland
Other,8,QLD,Queensland
Reef,9,QLD,Queensland
Reef,10,QLD,Queensland
Other,11,QLD,Queensland
Other,12,QLD,Queensland
Reef,13,QLD,Queensland
Reef,14,QLD,Queensland
Other,15,QLD,Queensland
Reef,16,QLD,Queensland
Reef,17,QLD,Queensland
Other,18,QLD,Queensland
Reef,19,QLD,Queensland
Other,20,QLD,Queensland
Reef,21,QLD,Queensland
Other,22,QLD,Queensland
Reef,23,QLD,Queensland
Other,24,QLD,Queensland
Reef,25,QLD,Queensland
Other,26,QLD,Queensland
Reef,27,QLD,Queensland
Other,28,QLD,Queensland
Other,29,QLD,Queensland
Reef,30,QLD,Queensland
Reef,31,QLD,Queensland
Reef,32,QLD,Queensland
Other,33,QLD,Queensland
Other,34,QLD,Queensland
Reef,35,QLD,Queensland
Other,36,QLD,Queensland
Reef,37,QLD,Queensland
Other,38,QLD,Queensland
Reef,39,QLD,Queensland
Reef,40,QLD,Queensland
Other,41,QLD,Queensland
Other,42,QLD,Queensland
Reef,43,QLD,Queensland
Other,44,QLD,Queensland
Reef,45,QLD,Queensland
Reef,46,QLD,Queensland
Other,47,QLD,Queensland
Other,48,QLD,Queensland
Reef,49,QLD,Queensland
Reef,50,QLD,Queensland
Other,51,QLD,Queensland
Other,52,QLD,Queensland
Reef,53,QLD,Queensland
Other,54,QLD,Queensland
Reef,55,QLD,Queensland
Other,56,QLD,Queensland
Reef,57,QLD,Queensland
Other,58,QLD,Queensland
Reef,59,QLD,Queensland
Other,60,QLD,Queensland
Reef,61,QLD,Queensland
Other,62,QLD,Queensland
Reef,63,QLD,Queensland
Other,64,QLD,Queensland
Reef,65,QLD,Queensland
Reef,66,QLD,Queensland
Other,67,QLD,Queensland
Reef,68,QLD,Queensland
Other,69,QLD,Queensland
Reef,70,QLD,Queensland
Other,71,QLD,Queensland
Other,72,QLD,Queensland
Reef,73,QLD,Queensland
Other,74,QLD,Queensland
Reef,75,QLD,Queensland
Other,76,QLD,Queensland
Reef,77,QLD,Queensland
Reef,78,QLD,Queensland
Other,79,QLD,Queensland
Reef,80,QLD,Queensland
Other,81,QLD,Queensland
Other,82,QLD,Queensland
Reef,83,QLD,Queensland
Other,84,QLD,Queensland
Reef,85,QLD,Queensland
Reef,86,QLD,Queensland
Other,87,QLD,Queensland
Reef,88,QLD,Queensland
Other,89,QLD,Queensland
Reef,90,QLD,Queensland
Reef,91,QLD,Queensland
Other,92,QLD,Queensland
Reef,93,QLD,Queensland
Other,94,QLD,Queensland
Other,95,QLD,Queensland
Reef,96,QLD,Queensland
Reef,97,QLD,Queensland
Other,98,QLD,Queensland
Other,99,QLD,Queensland
Reef,100,QLD,Queensland
Reef,101,QLD,Queensland
Reef,102,QLD,Queensland
Reef,103,QLD,Queensland
Other,104,QLD,Queensland
Reef,105,QLD,Queensland
Other,106,QLD,Queensland
Reef,107,QLD,Queensland
Reef,108,QLD,Queensland
Other,109,QLD,Queensland
Other,110,QLD,Queensland
Reef,111,QLD,Queensland
Reef,112,QLD,Queensland
Reef,113,QLD,Queensland
Other,114,QLD,Queensland
Reef,115,QLD,Queensland
Other,116,QLD,Queensland
Other,117,QLD,Queensland
Reef,118,QLD,Queensland
Reef,119,QLD,Queensland
Other,120,QLD,Queensland
Other,121,QLD,Queensland
Reef,122,QLD,Queensland
Reef,123,QLD,Queensland
Reef,124,QLD,Queensland
Other,125,QLD,Queensland
Reef,126,QLD,Queensland
Other,127,QLD,Queensland
Other,128,QLD,Queensland
Reef,129,QLD,Queensland
Reef,130,QLD,Queensland
Other,131,QLD,Queensland
Reef,132,QLD,Queensland
Reef,133,QLD,Queensland
Other,134,QLD,Queensland
Other,135,QLD,Queensland
Reef,136,QLD,Queensland
Reef,137,QLD,Queensland
Other,138,QLD,Queensland
Reef,139,QLD,Queensland
Other,140,QLD,Queensland
Reef,141,QLD,Queensland
Reef,142,QLD,Queensland
Other,143,QLD,Queensland
Reef,144,QLD,Queensland
Reef,145,QLD,Queensland
Other,146,QLD,Queensland
Reef,147,QLD,Queensland
Reef,148,QLD,Queensland
Other,149,QLD,Queensland
Reef,150,QLD,Queensland
Other,151,QLD,Queensland
Reef,152,QLD,Queensland
Other,153,QLD,Queensland
Reef,154,QLD,Queensland
Other,155,QLD,Queensland
Reef,156,QLD,Queensland
Other,157,QLD,Queensland
Other,158,QLD,Queensland
Reef,159,QLD,Queensland
Other,160,QLD,Queensland
Reef,161,QLD,Queensland
Reef,162,QLD,Queensland
Other,163,QLD,Queensland
Reef,164,QLD,Queensland
Other,165,QLD,Queensland
Other,166,QLD,Queensland
Reef,167,QLD,Queensland
Other,168,QLD,Queensland
Reef,169,QLD,Queensland
Reef,170,QLD,Queensland
Other,171,QLD,Queensland
Other,172,QLD,Queensland
Reef,173,QLD,Queensland
Other,174,QLD,Queensland
Reef,175,QLD,Queensland
Reef,176,QLD,Queensland
Other,177,QLD,Queensland
Other,178,QLD,Queensland
Reef,179,QLD,Queensland
Other,180,QLD,Queensland
Reef,181,QLD,Queensland
Other,182,QLD,Queensland
Reef,183,QLD,Queensland
Other,184,QLD,Queensland
Reef,185,QLD,Queensland
Reef,186,QLD,Queensland
Other,187,QLD,Queensland
Other,188,QLD,Queensland
Reef,189,QLD,Queensland
Other,190,QLD,Queensland
Other,191,QLD,Queensland
Other,192,QLD,Queensland
Other,193,QLD,Queensland
Other,194,QLD,Queensland
Other,195,QLD,Queensland
Other,196,QLD,Queensland
Other,197,QLD,Queensland
Other,198,QLD,Queensland
Other,199,QLD,Queensland
Other,200,QLD,Queensland
Reef,204,NSW01,Tweed
Other,205,NSW01,Tweed
Reef,206,NSW01,Tweed
Other,208,NSW01,Tweed
Reef,210,NSW01,Tweed
Other,212,NSW01,Tweed
Reef,213,NSW01,Tweed
Other,218,NSW01,Tweed
Reef,221,NSW01,Tweed
Reef,223,NSW01,Tweed
Other,226,NSW02,Byron
Reef,227,NSW02,Byron
Reef,228,NSW02,Byron
Reef,229,NSW02,Byron
Other,235,NSW02,Byron
Other,236,NSW02,Byron
Reef,237,NSW02,Byron
Reef,243,NSW02,Byron
Other,244,NSW02,Byron
Other,248,NSW03,Byron
Reef,250,NSW03,Byron
Reef,251,NSW03,Byron
Reef,252,NSW03,Byron
Other,255,NSW03,Byron
Reef,256,NSW03,Byron
Reef,258,NSW03,Byron
Other,260,NSW03,Byron
Reef,261,NSW03,Byron
Other,263,NSW03,Byron
Other,267,NSW04,Yamba
Reef,268,NSW04,Yamba
Reef,270,NSW04,Yamba
Reef,271,NSW04,Yamba
Other,274,NSW04,Yamba
Reef,276,NSW04,Yamba
Reef,278,NSW04,Yamba
Other,279,NSW04,Yamba
Reef,283,NSW04,Yamba
Other,285,NSW04,Yamba
Reef,288,NSW04,Yamba
Other,289,NSW04,Yamba
Reef,293,NSW04,Yamba
Other,296,NSW04,Yamba
Other,299,NSW04,Yamba
Reef,300,NSW04,Yamba
Reef,302,NSW04,Yamba
Other,304,NSW04,Yamba
Reef,306,NSW05,Solitary Is.
Reef,308,NSW05,Solitary Is.
Other,310,NSW05,Solitary Is.
Reef,311,NSW05,Solitary Is.
Reef,314,NSW05,Solitary Is.
Other,317,NSW05,Solitary Is.
Reef,318,NSW05,Solitary Is.
Reef,320,NSW05,Solitary Is.
Other,321,NSW05,Solitary Is.
Reef,323,NSW05,Solitary Is.
Reef,327,NSW05,Solitary Is.
Other,330,NSW05,Solitary Is.
Reef,331,NSW05,Solitary Is.
Other,333,NSW05,Solitary Is.
Reef,335,NSW05,Solitary Is.
Reef,339,NSW05,Solitary Is.
Reef,340,NSW05,Solitary Is.
Other,344,NSW05,Solitary Is.
Reef,345,NSW05,Solitary Is.
Other,346,NSW05,Solitary Is.
Reef,350,NSW05,Solitary Is.
Reef,351,NSW05,Solitary Is.
Reef,352,NSW05,Solitary Is.
Other,355,NSW05,Solitary Is.
Reef,357,NSW06,Nambucca
Reef,358,NSW06,Nambucca
Other,360,NSW06,Nambucca
Reef,363,NSW06,Nambucca
Other,364,NSW06,Nambucca
Other,367,NSW06,Nambucca
Reef,369,NSW06,Nambucca
Reef,373,NSW06,Nambucca
Reef,376,NSW06,Nambucca
Other,378,NSW06,Nambucca
Reef,379,NSW06,Nambucca
Reef,381,NSW06,Nambucca
Other,383,NSW06,Nambucca
Other,386,NSW06,Nambucca
Reef,389,NSW06,Nambucca
Reef,391,NSW06,Nambucca
Other,394,NSW06,Nambucca
Reef,395,NSW06,Nambucca
Other,399,NSW06,Nambucca
Reef,400,NSW06,Nambucca
Reef,402,NSW06,Nambucca
Other,403,NSW06,Nambucca
Reef,408,NSW07,Pt Macquarie
Other,410,NSW07,Pt Macquarie
Other,415,NSW07,Pt Macquarie
Reef,417,NSW07,Pt Macquarie
Reef,419,NSW07,Pt Macquarie
Other,422,NSW07,Pt Macquarie
Reef,425,NSW07,Pt Macquarie
Other,429,NSW07,Pt Macquarie
Other,430,NSW07,Pt Macquarie
Reef,431,NSW07,Pt Macquarie
Other,435,NSW07,Pt Macquarie
Reef,438,NSW07,Pt Macquarie
Other,440,NSW07,Pt Macquarie
Other,444,NSW07,Pt Macquarie
Reef,446,NSW07,Pt Macquarie
Reef,448,NSW07,Pt Macquarie
Other,450,NSW07,Pt Macquarie
Reef,452,NSW08,Crowdy Bay
Reef,454,NSW08,Crowdy Bay
Other,458,NSW08,Crowdy Bay
Other,459,NSW08,Crowdy Bay
Reef,462,NSW08,Crowdy Bay
Reef,464,NSW08,Crowdy Bay
Reef,466,NSW08,Crowdy Bay
Other,467,NSW08,Crowdy Bay
Reef,470,NSW08,Crowdy Bay
Other,472,NSW08,Crowdy Bay
Reef,474,NSW08,Crowdy Bay
Other,477,NSW08,Crowdy Bay
Other,479,NSW08,Crowdy Bay
Reef,482,NSW08,Crowdy Bay
Other,485,NSW08,Crowdy Bay
Reef,487,NSW08,Crowdy Bay
Reef,489,NSW08,Crowdy Bay
Reef,491,NSW08,Crowdy Bay
Other,494,NSW08,Crowdy Bay
Reef,495,NSW08,Crowdy Bay
Reef,496,NSW08,Crowdy Bay
Other,497,NSW08,Crowdy Bay
Reef,501,NSW08,Crowdy Bay
Other,503,NSW08,Crowdy Bay
Reef,505,NSW08,Crowdy Bay
Other,508,NSW09,Pt Stephens
Reef,509,NSW09,Pt Stephens
Other,512,NSW09,Pt Stephens
Reef,515,NSW09,Pt Stephens
Reef,516,NSW09,Pt Stephens
Other,520,NSW09,Pt Stephens
Reef,521,NSW09,Pt Stephens
Reef,522,NSW09,Pt Stephens
Other,525,NSW09,Pt Stephens
Reef,526,NSW09,Pt Stephens
Reef,528,NSW09,Pt Stephens
Reef,530,NSW09,Pt Stephens
Other,533,NSW09,Pt Stephens
Reef,534,NSW09,Pt Stephens
Reef,536,NSW09,Pt Stephens
Other,537,NSW09,Pt Stephens
Reef,538,NSW09,Pt Stephens
Reef,541,NSW09,Pt Stephens
Other,542,NSW09,Pt Stephens
Other,546,NSW09,Pt Stephens
Reef,547,NSW09,Pt Stephens
Reef,550,NSW09,Pt Stephens
Other,551,NSW09,Pt Stephens
Reef,554,NSW09,Pt Stephens
Reef,555,NSW09,Pt Stephens
Reef,556,NSW09,Pt Stephens
Other,559,NSW09,Pt Stephens
Reef,562,NSW09,Pt Stephens
Other,565,NSW09,Pt Stephens
Other,567,NSW09,Pt Stephens
Reef,569,NSW10,Newcastle
Other,571,NSW10,Newcastle
Reef,573,NSW10,Newcastle
Other,575,NSW10,Newcastle
Reef,578,NSW10,Newcastle
Reef,579,NSW10,Newcastle
Other,581,NSW10,Newcastle
Other,586,NSW10,Newcastle
Reef,588,NSW10,Newcastle
Reef,589,NSW10,Newcastle
Other,590,NSW10,Newcastle
Other,597,NSW10,Newcastle
Reef,598,NSW10,Newcastle
Reef,600,NSW10,Newcastle
Other,602,NSW10,Newcastle
Reef,605,NSW10,Newcastle
Reef,606,NSW10,Newcastle
Other,608,NSW10,Newcastle
Reef,610,NSW10,Newcastle
Reef,612,NSW10,Newcastle
Other,614,NSW11,Sydney
Other,617,NSW11,Sydney
Reef,618,NSW11,Sydney
Reef,623,NSW11,Sydney
Other,625,NSW11,Sydney
Reef,629,NSW11,Sydney
Other,631,NSW11,Sydney
Other,632,NSW11,Sydney
Reef,633,NSW11,Sydney
Reef,637,NSW11,Sydney
Other,638,NSW11,Sydney
Reef,642,NSW11,Sydney
Other,648,NSW11,Sydney
Reef,649,NSW11,Sydney
Other,650,NSW11,Sydney
Reef,652,NSW11,Sydney
Reef,655,NSW11,Sydney
Other,656,NSW11,Sydney
Reef,662,NSW11,Sydney
Other,663,NSW11,Sydney
Reef,665,NSW11,Sydney
Other,668,NSW11,Sydney
Other,670,NSW11,Sydney
Reef,673,NSW11,Sydney
Reef,676,NSW11,Sydney
Other,678,NSW12,Wollongong
Reef,680,NSW12,Wollongong
Reef,681,NSW12,Wollongong
Reef,684,NSW12,Wollongong
Other,686,NSW12,Wollongong
Other,687,NSW12,Wollongong
Reef,691,NSW12,Wollongong
Reef,692,NSW12,Wollongong
Reef,696,NSW12,Wollongong
Other,697,NSW12,Wollongong
Reef,699,NSW12,Wollongong
Other,700,NSW12,Wollongong
Reef,706,NSW12,Wollongong
Other,707,NSW12,Wollongong
Reef,709,NSW12,Wollongong
Other,711,NSW12,Wollongong
Other,716,NSW12,Wollongong
Other,722,NSW12,Wollongong
Reef,723,NSW12,Wollongong
Reef,724,NSW12,Wollongong
Other,726,NSW12,Wollongong
Reef,728,NSW12,Wollongong
Other,730,NSW13,Jervis
Other,732,NSW13,Jervis
Reef,733,NSW13,Jervis
Other,737,NSW13,Jervis
Reef,740,NSW13,Jervis
Other,743,NSW13,Jervis
Reef,746,NSW13,Jervis
Other,748,NSW14,Ulladulla
Reef,751,NSW14,Ulladulla
Reef,753,NSW14,Ulladulla
Other,757,NSW14,Ulladulla
Reef,759,NSW14,Ulladulla
Other,760,NSW14,Ulladulla
Reef,765,NSW14,Ulladulla
Other,766,NSW14,Ulladulla
Other,771,NSW14,Ulladulla
Reef,773,NSW15,Batemans
Other,778,NSW15,Batemans
Reef,781,NSW15,Batemans
Other,782,NSW15,Batemans
Reef,783,NSW15,Batemans
Reef,787,NSW15,Batemans
Other,789,NSW15,Batemans
Reef,796,NSW15,Batemans
Other,797,NSW15,Batemans
Reef,800,NSW15,Batemans
Reef,804,NSW15,Batemans
Other,806,NSW15,Batemans
Reef,807,NSW15,Batemans
Other,809,NSW15,Batemans
Reef,812,NSW15,Batemans
Reef,814,NSW15,Batemans
Other,818,NSW15,Batemans
Other,823,NSW15,Batemans
Reef,825,NSW15,Batemans
Reef,828,NSW15,Batemans
Other,829,NSW15,Batemans
Reef,831,NSW15,Batemans
Other,833,NSW15,Batemans
Other,834,NSW15,Batemans
Reef,835,NSW15,Batemans
Reef,839,NSW15,Batemans
Other,843,NSW16,Merimbula
Reef,844,NSW16,Merimbula
Other,847,NSW16,Merimbula
Other,849,NSW16,Merimbula
Reef,853,NSW16,Merimbula
Other,856,NSW16,Merimbula
Reef,859,NSW16,Merimbula
Other,860,NSW16,Merimbula
Reef,864,NSW16,Merimbula
Reef,865,NSW16,Merimbula
Other,868,NSW16,Merimbula
Reef,872,NSW16,Merimbula
Other,873,NSW16,Merimbula
Reef,878,NSW16,Merimbula
Other,881,NSW16,Merimbula
Reef,883,NSW16,Merimbula
Other,884,NSW17,Eden
Reef,889,NSW17,Eden
Other,890,NSW17,Eden
Reef,896,NSW17,Eden
Other,899,NSW17,Eden
Other,901,NSW17,Eden
Reef,902,NSW17,Eden
Other,908,NSW17,Eden
Reef,910,NSW17,Eden
Reef,911,NSW17,Eden
Other,912,NSW17,Eden
Other,918,NSW17,Eden
Reef,920,NSW17,Eden
Reef,921,NSW17,Eden
Reef,922,NSW18,Lord Howe
Other,923,VIC,Victoria
Other,924,VIC,Victoria
Other,925,VIC,Victoria
Other,926,VIC,Victoria
Other,927,VIC,Victoria
Other,928,VIC,Victoria
Other,929,VIC,Victoria
Other,930,VIC,Victoria
Other,931,VIC,Victoria
Other,932,VIC,Victoria
Other,933,VIC,Victoria
Other,934,VIC,Victoria
Other,935,VIC,Victoria
Other,936,VIC,Victoria
Other,937,VIC,Victoria
Other,938,VIC,Victoria
Other,939,VIC,Victoria
Other,940,VIC,Victoria
Other,941,VIC,Victoria
Other,942,VIC,Victoria
Other,943,VIC,Victoria
Other,944,VIC,Victoria
Other,945,VIC,Victoria
Other,946,VIC,Victoria
Other,947,VIC,Victoria
Other,948,VIC,Victoria
Other,949,VIC,Victoria
Other,950,VIC,Victoria
Other,951,VIC,Victoria
Other,952,VIC,Victoria
Other,953,VIC,Victoria
Other,954,VIC,Victoria
Other,955,VIC,Victoria
Other,956,VIC,Victoria
Other,957,VIC,Victoria
Other,958,VIC,Victoria
Other,959,VIC,Victoria
Other,960,VIC,Victoria
Other,961,VIC,Victoria
Other,962,VIC,Victoria
Other,963,VIC,Victoria
Other,964,VIC,Victoria
Other,965,VIC,Victoria
Other,966,VIC,Victoria
Other,967,VIC,Victoria
Other,968,VIC,Victoria
Other,969,VIC,Victoria
Other,970,VIC,Victoria
Other,971,VIC,Victoria
Other,972,VIC,Victoria
Reef,1000,NSW18,Lord Howe
Reef,1001,NSW19,Elizabeth-middleton
Reef,1002,NSW19,Elizabeth-middleton
Other,1004,NZ,Norfolk Is.
Other,1003,NFI,New Zealand
